;FECHA;CONCEPTO; VALOR  ;Proveedor;Observación
;sábado, 15 de marzo de 2025;Compras; $ 111,00 ;INP Food;
;sábado, 15 de marzo de 2025;Compras; $ 413,50 ;P&A Produce LLC;
;viernes, 14 de marzo de 2025;Compras; $ 213,00 ;Grubmarket - General;
;viernes, 14 de marzo de 2025;Compras; $ 19,00 ;Grubmarket - General;
;viernes, 14 de marzo de 2025;Compras; $ 431,00 ;Grubmarket - General;
;viernes, 14 de marzo de 2025;Compras; $ 920,00 ;P&A Produce LLC;
;jueves, 13 de marzo de 2025;Compras; $ 349,20 ;Del Caribe Meat;
;jueves, 13 de marzo de 2025;Compras; $ 529,50 ;P&A Produce LLC;
;jueves, 13 de marzo de 2025;Compras; $ 393,00 ;Grubmarket - General;
;jueves, 13 de marzo de 2025;Compras; $ 125,00 ;S&J Global Trading;
;jueves, 13 de marzo de 2025;Compras; $ 418,12 ;Distribuidora Quisqueya;
;miércoles, 12 de marzo de 2025;Compras; $ 30,00 ;Bluberry;No identifica Preveedor
;miércoles, 12 de marzo de 2025;Compras; $ 204,50 ;Veloz Cargo service;
;martes, 11 de marzo de 2025;Compras; $ 745,00 ;P&A Produce LLC;
;martes, 11 de marzo de 2025;Compras; $ 44,00 ;Grubmarket - General;
;martes, 11 de marzo de 2025;Compras; $ 782,00 ;Grubmarket - General;
;martes, 11 de marzo de 2025;Compras; $ 393,00 ;S&J Global Trading;
;martes, 11 de marzo de 2025;Compras; $ 327,39 ;Cordialsa USA;
;lunes, 10 de marzo de 2025;Compras; $ 25,95 ;ICE;
;lunes, 10 de marzo de 2025;Compras; $ 70,00 ;;Salami no tiene factura
;jueves, 27 de marzo de 2025;Compras; $ 204,95 ;Jetro;
;sábado, 8 de marzo de 2025;Compras; $ 70,00 ;BP;
;viernes, 28 de marzo de 2025;Compras; $ 1.136,72 ;Jetro;
;sábado, 8 de marzo de 2025;Compras; $ 688,00 ;Grubmarket - General;
;sábado, 8 de marzo de 2025;Compras; $ 232,00 ;P&A Produce LLC;
;viernes, 7 de marzo de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;viernes, 7 de marzo de 2025;Compras; $ 330,34 ;Goya;
