"UPC","Item","Department","Quantity on Hand","Total Cost"
"041331023306","Red kidney","General Food","10",""
"041331023429","Goya Black Beans","General Food","17",""
"041331024006","Goya Red Kidney Beans","General Food","12",""
"041331024112","Goya Pink Beans","General Food","2",""
"041331024150","Goya Roman Beans","General Food","12",""
"041331024174","Goya Small Red Beans","General Food","7",""
"041331024198","Goya Chick Peas","General Food","7",""
"041331024297","Goya Blackeye Peas, Premium","General Food","12",""
"041331024426","Goya Pinto Beans","General Food","18",""
"041331024655","Goya Black Beans","General Food","13",""
"041331024709","habichuelas blancas","General Food","17",""
"041331024716","Goya Red Kidney Beans","General Food","30",""
"041331024723","Goya Pinto Beans","General Food","16",""
"041331024730","Goya Baby Lima Beans","General Food","40",""
"041331024747","Goya Blackeye Peas","General Food","35",""
"041331024754","Goya Whole Green Peas","General Food","-17",""
"041331024761","Goya Lentils","General Food","-32",""
"041331024778","Goya Pink Beans","General Food","17",""
"041331024785","Chick Peas","General Food","-9",""
"041331024792","Goya Black Beans","General Food","18",""
"041331024808","Goya Dominican Red Beans","General Food","-6",""
"041331024815","Goya Lima Beans","General Food","11",""
"041331024822","Goya Pigeon Peas","General Food","24",""
"041331024839","Goya Roman Beans","General Food","8",""
"041331024914","Goya Yellow Spilt Peas","General Food","-16",""
"041331024921","Goya Yellow Popcorn","General Food","0",""
"041331024945","Goya Barley","General Food","11",""
"041331024952","Goya Canary Beans","General Food","14",""
"041331024976","Goya:White Hominy Corn","General Food","20",""
"041331024983","Goya Golden Hominy Corn","General Food","-4",""
"041331024990","Goya White Corn","General Food","17",""
"041331025027","Goya 16 Bean Soup Mix","General Food","19",""
"041331025034","Goya Central American Red Beans","General Food","14",""
"041331025416","paella goya","General Food","5",""
"041331025980","Goya White Hominy","General Food","6",""
"041331026178","Goya Thai Jasmine Rice","General Food","2",""
"041331026208","Goya:Thai Jasmine Rice","General Food","1",""
"041331026215","Brown Rice","General Food","5",""
"041331026222","Goya Rice Jasmine Thai 2 lb","General Food","8",""
"041331026260","Golden Canilla:Enriched Long Grain Parboiled Rice","General Food","1",""
"041331026314","Golden Canilla:Enriched Long Grain Parboiled Rice","General Food","0",""
"041331026321","Canilla Extra Long Grain Rice","General Food","45",""
"041331026338","Canilla:Enriched Rice, Extra Long Grain","General Food","3",""
"041331026345","Canilla Enriched Extra Long Grain White Rice","General Food","0",""
"041331026352","Canilla Rice","General Food","1",""
"041331026376","Canilla:Rice, Enriched, Extra Long Grain","General Food","13",""
"041331026383","Canilla Enriched Rice, Extra Long Grain","General Food","1",""
"041331027632","Goya aplle","Drinks","16",""
"041331027786","Goya Coconut Water","Drinks","-15",""
"041331027823","Goya:Pineapple Juice from Concentrate","General Food","11",""
"041331027854","Goya Coconut Water","Drinks","9",""
"041331027878","Goya Coconut Water","Drinks","-22",""
"041331028455","Goya Diced Chiles","General Food","21",""
"041331028745","Goya:Chipotle Peppers, in Adobe Sauce","General Food","3",""
"041331028899","Goya:Salsa Verda, Medium","General Food","10","$37.90"
"041331028912","Goya:Salsa Pico de Gallo, Mild","General Food","0",""
"041331029711","Goya Sugar Cane Brown, Panela","General Food","0",""
